Row ID,Transaction Id (PK),Order ID,Order Date,Year,Month,Quarter,Ship Date,Shipping Delay,Shipping Speed,Ship Mode,Customer ID,Customer Name,Customer Type,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Order-Size,Sales Per Unit,Discount,Profit,Profit Margin,Loss Severity,Loss Flag,Order-Level Total Sales (Grouped by Order ID C),Customer Purchase Frequency (Customer ID = L),Total sales per customer,Discount Amount (Sales × Discount)
1,TXN-000001,CA-2016-152156,11/8/2016,2016,November,Q4,11/11/2016,3,Fast,Second Class,CG-12520,Claire Gute,Occasional,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,FURNITURE,Bookcases,Bush Somerset Collection Bookcase,261.96,2,Medium,130.98,0%,41.91,0.16,Profit,Profit,993.9,5,1148.78,0.0
2,TXN-000002,CA-2016-152156,11/8/2016,2016,November,Q4,11/11/2016,3,Fast,Second Class,CG-12520,Claire Gute,Occasional,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,FURNITURE,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,Large,243.98,0%,219.58,0.3,Profit,Profit,993.9,5,1148.78,0.0
3,TXN-000003,CA-2016-138688,6/12/2016,2016,June,Q2,6/16/2016,4,Normal,Second Class,DV-13045,Darrin Van Huff,Occasional,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,OFFICE SUPPLIES,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,Small,7.31,0%,6.87,0.47,Profit,Profit,14.62,9,1119.48,0.0
4,TXN-000004,US-2015-108966,10/11/2015,2015,October,Q4,10/18/2015,7,Slow,Standard Class,SO-20335,Sean O'Donnell,Loyal,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,FURNITURE,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,Large,191.52,45%,-383.03,-0.4,High Loss,Loss,979.95,15,2602.58,430.91
5,TXN-000005,US-2015-108966,10/11/2015,2015,October,Q4,10/18/2015,7,Slow,Standard Class,SO-20335,Sean O'Donnell,Loyal,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,OFFICE SUPPLIES,Storage,Eldon Fold 'N Roll Cart System,22.37,2,Small,11.18,20%,2.52,0.11,Profit,Profit,979.95,15,2602.58,4.47
6,TXN-000006,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,FURNITURE,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,Small,6.98,0%,14.17,0.29,Profit,Profit,3714.29,24,6255.33,0.0
7,TXN-000007,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,OFFICE SUPPLIES,Art,Newell 322,7.28,4,Small,1.82,0%,1.97,0.27,Profit,Profit,3714.29,24,6255.33,0.0
8,TXN-000008,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,TECHNOLOGY,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,Large,151.19,20%,90.72,0.1,Profit,Profit,3714.29,24,6255.33,181.43
9,TXN-000009,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,OFFICE SUPPLIES,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,Small,6.17,20%,5.78,0.31,Profit,Profit,3714.29,24,6255.33,3.7
10,TXN-000010,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,OFFICE SUPPLIES,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,Medium,22.98,0%,34.47,0.3,Profit,Profit,3714.29,24,6255.33,0.0
